epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.92,0.9082,2.1987,1.08433,0.9134,0.81994,0.91113,0.72559,0.72131,1.34756,0.96561,0.000475199,0.000475199,0.000475199
2,286.461,0.90408,1.474,1.08207,0.89155,0.86249,0.89549,0.68189,0.81864,1.00905,0.99255,0.000932692,0.000932692,0.000932692
3,399.642,0.91456,1.19687,1.08688,0.80049,0.8261,0.83029,0.67525,0.72484,1.11821,0.94264,0.00137132,0.00137132,0.00137132
4,477.637,0.89438,1.00539,1.07375,0.94894,0.90304,0.96579,0.77317,0.72427,0.64174,0.95661,0.00134412,0.00134412,0.00134412
5,555.266,0.84835,0.86807,1.06876,0.955,0.89696,0.95819,0.7904,0.67801,0.62801,0.94983,0.00131582,0.00131582,0.00131582
6,641.189,0.82375,0.81321,1.05246,0.95193,0.95061,0.96787,0.79924,0.68369,0.57347,0.92594,0.00128753,0.00128753,0.00128753
7,723.749,0.81044,0.77506,1.04339,0.92726,0.92416,0.96697,0.81028,0.63731,0.59993,0.9216,0.00125923,0.00125923,0.00125923
8,816.91,0.80555,0.75133,1.0429,0.97187,0.96208,0.97824,0.83592,0.59764,0.48998,0.89711,0.00123094,0.00123094,0.00123094
9,900.231,0.76177,0.69253,1.02396,0.95775,0.95316,0.98001,0.83505,0.59922,0.49685,0.90203,0.00120265,0.00120265,0.00120265
10,983.682,0.73822,0.65847,1.01928,0.9868,0.95776,0.98378,0.85492,0.55995,0.42772,0.88455,0.00117435,0.00117435,0.00117435
11,1080.1,0.7458,0.60156,1.01083,0.96598,0.96765,0.97972,0.84561,0.56708,0.44654,0.89082,0.00114606,0.00114606,0.00114606
12,1162.37,0.71351,0.60856,1.00524,0.98447,0.97867,0.98419,0.85784,0.54731,0.4044,0.87943,0.00111776,0.00111776,0.00111776
13,1244.58,0.68684,0.58343,0.99201,0.92779,0.95172,0.97489,0.84877,0.52869,0.45332,0.87552,0.00108947,0.00108947,0.00108947
14,1353.11,0.66848,0.56607,0.98133,0.96586,0.96777,0.97418,0.86215,0.51594,0.40959,0.87429,0.00106118,0.00106118,0.00106118
15,1493.38,0.67079,0.53711,0.97848,0.98014,0.97737,0.98405,0.86883,0.52238,0.37027,0.87687,0.00103288,0.00103288,0.00103288
